#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1, beta=21, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.0196078                2.89616e-10              
0.0392157                7.29441e-10              
0.0588235                1.39739e-09              
0.0784314                2.4118e-09               
0.0980392                3.95237e-09              
0.117647                 6.29198e-09              
0.137255                 9.84507e-09              
0.156863                 1.5241e-08               
0.176471                 2.34353e-08              
0.196078                 3.58795e-08              
0.215686                 5.47773e-08              
0.235294                 8.34753e-08              
0.254902                 1.27056e-07              
0.27451                  1.93236e-07              
0.294118                 2.93734e-07              
0.313725                 4.46347e-07              
0.333333                 6.78098e-07              
0.352941                 1.03002e-06              
0.372549                 1.56443e-06              
0.392157                 2.37595e-06              
0.411765                 3.60828e-06              
0.431373                 5.47959e-06              
0.45098                  8.32125e-06              
0.470588                 1.26364e-05              
0.490196                 1.9189e-05               
0.509804                 2.91393e-05              
0.529412                 4.42491e-05              
0.54902                  6.71936e-05              
0.568627                 0.000102035              
0.588235                 0.000154943              
0.607843                 0.000235285              
0.627451                 0.000357285              
0.647059                 0.000542545              
0.666667                 0.000823866              
0.686275                 0.00125106               
0.705882                 0.00189976               
0.72549                  0.00288481               
0.745098                 0.00438065               
0.764706                 0.0066521                
0.784314                 0.0101013                
0.803922                 0.0153391                
0.823529                 0.0232927                
0.843137                 0.0353703                
0.862745                 0.0537105                
0.882353                 0.0815604                
0.901961                 0.123851                 
0.921569                 0.18807                  
0.941176                 0.285588                 
0.960784                 0.43367                  
0.980392                 0.658537                 
1                        1                        
