#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1, beta=21, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.00249377               4.05661e-11              
0.00498753               8.33138e-11              
0.0074813                1.2836e-10               
0.00997506               1.75829e-10              
0.0124688                2.25851e-10              
0.0149626                2.78563e-10              
0.0174564                3.3411e-10               
0.0199501                3.92644e-10              
0.0224439                4.54326e-10              
0.0249377                5.19325e-10              
0.0274314                5.8782e-10               
0.0299252                6.59999e-10              
0.032419                 7.36059e-10              
0.0349127                8.1621e-10               
0.0374065                9.00671e-10              
0.0399002                9.89675e-10              
0.042394                 1.08347e-09              
0.0448878                1.1823e-09               
0.0473815                1.28645e-09              
0.0498753                1.3962e-09               
0.0523691                1.51185e-09              
0.0548628                1.63373e-09              
0.0573566                1.76216e-09              
0.0598504                1.89749e-09              
0.0623441                2.0401e-09               
0.0648379                2.19039e-09              
0.0673317                2.34875e-09              
0.0698254                2.51564e-09              
0.0723192                2.69149e-09              
0.074813                 2.87681e-09              
0.0773067                3.07209e-09              
0.0798005                3.27788e-09              
0.0822943                3.49473e-09              
0.084788                 3.72324e-09              
0.0872818                3.96405e-09              
0.0897756                4.2178e-09               
0.0922693                4.48521e-09              
0.0947631                4.76699e-09              
0.0972569                5.06393e-09              
0.0997506                5.37684e-09              
0.102244                 5.70657e-09              
0.104738                 6.05404e-09              
0.107232                 6.4202e-09               
0.109726                 6.80605e-09              
0.112219                 7.21266e-09              
0.114713                 7.64113e-09              
0.117207                 8.09264e-09              
0.119701                 8.56843e-09              
0.122195                 9.06982e-09              
0.124688                 9.59817e-09              
0.127182                 1.01549e-08              
0.129676                 1.07416e-08              
0.13217                  1.13599e-08              
0.134663                 1.20114e-08              
0.137157                 1.2698e-08               
0.139651                 1.34214e-08              
0.142145                 1.41838e-08              
0.144638                 1.49872e-08              
0.147132                 1.58338e-08              
0.149626                 1.67259e-08              
0.15212                  1.7666e-08               
0.154613                 1.86567e-08              
0.157107                 1.97006e-08              
0.159601                 2.08007e-08              
0.162095                 2.196e-08                
0.164589                 2.31816e-08              
0.167082                 2.44689e-08              
0.169576                 2.58254e-08              
0.17207                  2.72549e-08              
0.174564                 2.87612e-08              
0.177057                 3.03486e-08              
0.179551                 3.20213e-08              
0.182045                 3.3784e-08               
0.184539                 3.56415e-08              
0.187032                 3.75989e-08              
0.189526                 3.96615e-08              
0.19202                  4.18351e-08              
0.194514                 4.41256e-08              
0.197007                 4.65393e-08              
0.199501                 4.90828e-08              
0.201995                 5.1763e-08               
0.204489                 5.45874e-08              
0.206983                 5.75637e-08              
0.209476                 6.07001e-08              
0.21197                  6.40051e-08              
0.214464                 6.74879e-08              
0.216958                 7.1158e-08               
0.219451                 7.50255e-08              
0.221945                 7.91009e-08              
0.224439                 8.33955e-08              
0.226933                 8.79211e-08              
0.229426                 9.26901e-08              
0.23192                  9.77156e-08              
0.234414                 1.03011e-07              
0.236908                 1.08592e-07              
0.239401                 1.14472e-07              
0.241895                 1.20669e-07              
0.244389                 1.27199e-07              
0.246883                 1.34081e-07              
0.249377                 1.41332e-07              
0.25187                  1.48974e-07              
0.254364                 1.57026e-07              
0.256858                 1.65511e-07              
0.259352                 1.74453e-07              
0.261845                 1.83876e-07              
0.264339                 1.93805e-07              
0.266833                 2.04268e-07              
0.269327                 2.15294e-07              
0.27182                  2.26913e-07              
0.274314                 2.39157e-07              
0.276808                 2.52059e-07              
0.279302                 2.65656e-07              
0.281796                 2.79983e-07              
0.284289                 2.95081e-07              
0.286783                 3.10991e-07              
0.289277                 3.27756e-07              
0.291771                 3.45423e-07              
0.294264                 3.6404e-07               
0.296758                 3.83659e-07              
0.299252                 4.04332e-07              
0.301746                 4.26117e-07              
0.304239                 4.49074e-07              
0.306733                 4.73265e-07              
0.309227                 4.98758e-07              
0.311721                 5.25621e-07              
0.314214                 5.53929e-07              
0.316708                 5.83759e-07              
0.319202                 6.15194e-07              
0.321696                 6.48319e-07              
0.32419                  6.83225e-07              
0.326683                 7.20009e-07              
0.329177                 7.5877e-07               
0.331671                 7.99617e-07              
0.334165                 8.4266e-07               
0.336658                 8.88017e-07              
0.339152                 9.35814e-07              
