#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=0.25, beta=0.5, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.0125                   0.00396199               
0.025                    0.00802427               
0.0375                   0.0121894                
0.05                     0.01646                  
0.0625                   0.0208387                
0.075                    0.0253282                
0.0875                   0.0299314                
0.1                      0.0346512                
0.1125                   0.0394904                
0.125                    0.0444522                
0.1375                   0.0495395                
0.15                     0.0547557                
0.1625                   0.0601039                
0.175                    0.0655875                
0.1875                   0.0712099                
0.2                      0.0769747                
0.2125                   0.0828854                
0.225                    0.0889457                
0.2375                   0.0951595                
0.25                     0.101531                 
0.2625                   0.108063                 
0.275                    0.114761                 
0.2875                   0.121628                 
0.3                      0.128669                 
0.3125                   0.135889                 
0.325                    0.143291                 
0.3375                   0.150881                 
0.35                     0.158662                 
0.3625                   0.166641                 
0.375                    0.174822                 
0.3875                   0.18321                  
0.4                      0.19181                  
0.4125                   0.200628                 
0.425                    0.209669                 
0.4375                   0.218939                 
0.45                     0.228444                 
0.4625                   0.238189                 
0.475                    0.248181                 
0.4875                   0.258426                 
0.5                      0.268931                 
0.5125                   0.279701                 
0.525                    0.290744                 
0.5375                   0.302067                 
0.55                     0.313676                 
0.5625                   0.325579                 
0.575                    0.337784                 
0.5875                   0.350297                 
0.6                      0.363128                 
0.6125                   0.376283                 
0.625                    0.389771                 
0.6375                   0.4036                   
0.65                     0.41778                  
0.6625                   0.432319                 
0.675                    0.447226                 
0.6875                   0.46251                  
0.7                      0.478181                 
0.7125                   0.494249                 
0.725                    0.510724                 
0.7375                   0.527615                 
0.75                     0.544935                 
0.7625                   0.562692                 
0.775                    0.5809                   
0.7875                   0.599568                 
0.8                      0.618709                 
0.8125                   0.638335                 
0.825                    0.658457                 
0.8375                   0.679089                 
0.85                     0.700243                 
0.8625                   0.721933                 
0.875                    0.744171                 
0.8875                   0.766973                 
0.9                      0.790352                 
0.9125                   0.814323                 
0.925                    0.838901                 
0.9375                   0.864101                 
0.95                     0.889939                 
0.9625                   0.916431                 
0.975                    0.943594                 
0.9875                   0.971444                 
1                        1                        
