#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1000, beta=1, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.0909091                0.0908678                
0.181818                 0.181744                 
0.272727                 0.272628                 
0.363636                 0.363521                 
0.454545                 0.454421                 
0.545455                 0.545331                 
0.636364                 0.636248                 
0.727273                 0.727174                 
0.818182                 0.818107                 
0.909091                 0.90905                  
1                        1                        
