#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1000, beta=1, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.0125                   0.0124938                
0.025                    0.0249878                
0.0375                   0.037482                 
0.05                     0.0499763                
0.0625                   0.0624707                
0.075                    0.0749653                
0.0875                   0.0874601                
0.1                      0.099955                 
0.1125                   0.11245                  
0.125                    0.124945                 
0.1375                   0.137441                 
0.15                     0.149936                 
0.1625                   0.162432                 
0.175                    0.174928                 
0.1875                   0.187424                 
0.2                      0.19992                  
0.2125                   0.212416                 
0.225                    0.224913                 
0.2375                   0.237409                 
0.25                     0.249906                 
0.2625                   0.262403                 
0.275                    0.2749                   
0.2875                   0.287398                 
0.3                      0.299895                 
0.3125                   0.312393                 
0.325                    0.32489                  
0.3375                   0.337388                 
0.35                     0.349886                 
0.3625                   0.362384                 
0.375                    0.374883                 
0.3875                   0.387381                 
0.4                      0.39988                  
0.4125                   0.412379                 
0.425                    0.424878                 
0.4375                   0.437377                 
0.45                     0.449876                 
0.4625                   0.462376                 
0.475                    0.474875                 
0.4875                   0.487375                 
0.5                      0.499875                 
0.5125                   0.512375                 
0.525                    0.524875                 
0.5375                   0.537376                 
0.55                     0.549876                 
0.5625                   0.562377                 
0.575                    0.574878                 
0.5875                   0.587379                 
0.6                      0.59988                  
0.6125                   0.612381                 
0.625                    0.624883                 
0.6375                   0.637384                 
0.65                     0.649886                 
0.6625                   0.662388                 
0.675                    0.67489                  
0.6875                   0.687393                 
0.7                      0.699895                 
0.7125                   0.712398                 
0.725                    0.7249                   
0.7375                   0.737403                 
0.75                     0.749906                 
0.7625                   0.762409                 
0.775                    0.774913                 
0.7875                   0.787416                 
0.8                      0.79992                  
0.8125                   0.812424                 
0.825                    0.824928                 
0.8375                   0.837432                 
0.85                     0.849936                 
0.8625                   0.862441                 
0.875                    0.874945                 
0.8875                   0.88745                  
0.9                      0.899955                 
0.9125                   0.91246                  
0.925                    0.924965                 
0.9375                   0.937471                 
0.95                     0.949976                 
0.9625                   0.962482                 
0.975                    0.974988                 
0.9875                   0.987494                 
1                        1                        
