#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1, beta=21, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.003125                 5.10419e-11              
0.00625                  1.05547e-10              
0.009375                 1.63751e-10              
0.0125                   2.25904e-10              
0.015625                 2.92274e-10              
0.01875                  3.63147e-10              
0.021875                 4.3883e-10               
0.025                    5.19648e-10              
0.028125                 6.0595e-10               
0.03125                  6.98108e-10              
0.034375                 7.9652e-10               
0.0375                   9.01609e-10              
0.040625                 1.01383e-09              
0.04375                  1.13366e-09              
0.046875                 1.26163e-09              
0.05                     1.39828e-09              
0.053125                 1.5442e-09               
0.05625                  1.70003e-09              
0.059375                 1.86642e-09              
0.0625                   2.04411e-09              
0.065625                 2.23386e-09              
0.06875                  2.43648e-09              
0.071875                 2.65285e-09              
0.075                    2.8839e-09               
0.078125                 3.13063e-09              
0.08125                  3.39411e-09              
0.084375                 3.67546e-09              
0.0875                   3.9759e-09               
0.090625                 4.29673e-09              
0.09375                  4.63934e-09              
0.096875                 5.00519e-09              
0.1                      5.39586e-09              
0.103125                 5.81305e-09              
0.10625                  6.25854e-09              
0.109375                 6.73426e-09              
0.1125                   7.24227e-09              
0.115625                 7.78474e-09              
0.11875                  8.36403e-09              
0.121875                 8.98262e-09              
0.125                    9.64319e-09              
0.128125                 1.03486e-08              
0.13125                  1.11018e-08              
0.134375                 1.19062e-08              
0.1375                   1.27652e-08              
0.140625                 1.36824e-08              
0.14375                  1.46619e-08              
0.146875                 1.57078e-08              
0.15                     1.68248e-08              
0.153125                 1.80175e-08              
0.15625                  1.92911e-08              
0.159375                 2.06512e-08              
0.1625                   2.21035e-08              
0.165625                 2.36544e-08              
0.16875                  2.53106e-08              
0.171875                 2.70791e-08              
0.175                    2.89676e-08              
0.178125                 3.09843e-08              
0.18125                  3.31378e-08              
0.184375                 3.54374e-08              
0.1875                   3.78931e-08              
0.190625                 4.05154e-08              
0.19375                  4.33157e-08              
0.196875                 4.6306e-08               
0.2                      4.94991e-08              
0.203125                 5.2909e-08               
0.20625                  5.65502e-08              
0.209375                 6.04385e-08              
0.2125                   6.45906e-08              
0.215625                 6.90245e-08              
0.21875                  7.37592e-08              
0.221875                 7.88152e-08              
0.225                    8.42142e-08              
0.228125                 8.99797e-08              
0.23125                  9.61363e-08              
0.234375                 1.02711e-07              
0.2375                   1.09731e-07              
0.240625                 1.17228e-07              
0.24375                  1.25234e-07              
0.246875                 1.33782e-07              
0.25                     1.42911e-07              
0.253125                 1.52659e-07              
0.25625                  1.63069e-07              
0.259375                 1.74185e-07              
0.2625                   1.86055e-07              
0.265625                 1.98731e-07              
0.26875                  2.12267e-07              
0.271875                 2.26721e-07              
0.275                    2.42156e-07              
0.278125                 2.58639e-07              
0.28125                  2.7624e-07               
0.284375                 2.95035e-07              
0.2875                   3.15105e-07              
0.290625                 3.36537e-07              
0.29375                  3.59424e-07              
0.296875                 3.83863e-07              
0.3                      4.09961e-07              
0.303125                 4.37829e-07              
0.30625                  4.67588e-07              
0.309375                 4.99367e-07              
0.3125                   5.33302e-07              
0.315625                 5.6954e-07               
0.31875                  6.08236e-07              
0.321875                 6.49558e-07              
0.325                    6.93684e-07              
0.328125                 7.40804e-07              
0.33125                  7.91121e-07              
0.334375                 8.44852e-07              
0.3375                   9.02229e-07              
0.340625                 9.635e-07                
0.34375                  1.02893e-06              
0.346875                 1.09879e-06              
0.35                     1.1734e-06               
0.353125                 1.25307e-06              
0.35625                  1.33815e-06              
0.359375                 1.429e-06                
0.3625                   1.52601e-06              
0.365625                 1.6296e-06               
0.36875                  1.74023e-06              
0.371875                 1.85836e-06              
0.375                    1.98451e-06              
0.378125                 2.11921e-06              
0.38125                  2.26306e-06              
0.384375                 2.41666e-06              
0.3875                   2.58069e-06              
0.390625                 2.75585e-06              
0.39375                  2.94289e-06              
0.396875                 3.14262e-06              
0.4                      3.35591e-06              
0.403125                 3.58367e-06              
0.40625                  3.82688e-06              
0.409375                 4.0866e-06               
0.4125                   4.36393e-06              
0.415625                 4.66009e-06              
0.41875                  4.97634e-06              
0.421875                 5.31404e-06              
0.425                    5.67466e-06              
0.428125                 6.05975e-06              
0.43125                  6.47097e-06              
0.434375                 6.91009e-06              
0.4375                   7.37901e-06              
0.440625                 7.87974e-06              
0.44375                  8.41445e-06              
0.446875                 8.98544e-06              
0.45                     9.59518e-06              
0.453125                 1.02463e-05              
0.45625                  1.09416e-05              
0.459375                 1.1684e-05               
0.4625                   1.24769e-05              
0.465625                 1.33235e-05              
0.46875                  1.42276e-05              
0.471875                 1.5193e-05               
0.475                    1.62239e-05              
0.478125                 1.73248e-05              
0.48125                  1.85004e-05              
0.484375                 1.97557e-05              
0.4875                   2.10962e-05              
0.490625                 2.25277e-05              
0.49375                  2.40563e-05              
0.496875                 2.56886e-05              
0.5                      2.74317e-05              
0.503125                 2.9293e-05               
0.50625                  3.12806e-05              
0.509375                 3.34031e-05              
0.5125                   3.56697e-05              
0.515625                 3.809e-05                
0.51875                  4.06745e-05              
0.521875                 4.34344e-05              
0.525                    4.63815e-05              
0.528125                 4.95286e-05              
