#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1, beta=21, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.00990099               1.62948e-10              
0.019802                 3.63709e-10              
0.029703                 6.11061e-10              
0.039604                 9.15814e-10              
0.049505                 1.29129e-09              
0.0594059                1.75391e-09              
0.0693069                2.32389e-09              
0.0792079                3.02615e-09              
0.0891089                3.89139e-09              
0.0990099                4.95742e-09              
0.108911                 6.27086e-09              
0.118812                 7.88911e-09              
0.128713                 9.88292e-09              
0.138614                 1.23394e-08              
0.148515                 1.5366e-08               
0.158416                 1.9095e-08               
0.168317                 2.36894e-08              
0.178218                 2.935e-08                
0.188119                 3.63242e-08              
0.19802                  4.49169e-08              
0.207921                 5.55036e-08              
0.217822                 6.85471e-08              
0.227723                 8.46176e-08              
0.237624                 1.04417e-07              
0.247525                 1.28812e-07              
0.257426                 1.58867e-07              
0.267327                 1.95897e-07              
0.277228                 2.4152e-07               
0.287129                 2.9773e-07               
0.29703                  3.66983e-07              
0.306931                 4.52307e-07              
0.316832                 5.57431e-07              
0.326733                 6.86949e-07              
0.336634                 8.46522e-07              
0.346535                 1.04312e-06              
0.356436                 1.28535e-06              
0.366337                 1.58378e-06              
0.376238                 1.95146e-06              
0.386139                 2.40446e-06              
0.39604                  2.96258e-06              
0.405941                 3.65021e-06              
0.415842                 4.49741e-06              
0.425743                 5.54119e-06              
0.435644                 6.82718e-06              
0.445545                 8.41158e-06              
0.455446                 1.03636e-05              
0.465347                 1.27687e-05              
0.475248                 1.57317e-05              
0.485149                 1.93824e-05              
0.49505                  2.38802e-05              
0.50495                  2.94217e-05              
0.514851                 3.62491e-05              
0.524752                 4.46607e-05              
0.534653                 5.50242e-05              
0.544554                 6.77925e-05              
0.554455                 8.35236e-05              
0.564356                 0.000102905              
0.574257                 0.000126784              
0.584158                 0.000156204              
0.594059                 0.00019245               
0.60396                  0.000237107              
0.613861                 0.000292127              
0.623762                 0.000359914              
0.633663                 0.00044343               
0.643564                 0.000546326              
0.653465                 0.000673098              
0.663366                 0.000829287              
0.673267                 0.00102172               
0.683168                 0.0012588                
0.693069                 0.0015509                
0.70297                  0.00191078               
0.712871                 0.00235416               
0.722772                 0.00290044               
0.732673                 0.00357347               
0.742574                 0.00440267               
0.752475                 0.00542428               
0.762376                 0.00668296               
0.772277                 0.0082337                
0.782178                 0.0101443                
0.792079                 0.0124982                
0.80198                  0.0153983                
0.811881                 0.0189714                
0.821782                 0.0233737                
0.831683                 0.0287974                
0.841584                 0.0354796                
0.851485                 0.0437125                
0.861386                 0.0538557                
0.871287                 0.0663526                
0.881188                 0.0817494                
0.891089                 0.100719                 
0.90099                  0.12409                  
0.910891                 0.152884                 
0.920792                 0.18836                  
0.930693                 0.232068                 
0.940594                 0.285919                 
0.950495                 0.352264                 
0.960396                 0.434005                 
0.970297                 0.534713                 
0.980198                 0.658791                 
0.990099                 0.811659                 
1                        1                        
