#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=5, beta=0.1, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.05                     0.0495264                
0.1                      0.0991024                
0.15                     0.148728                 
0.2                      0.198403                 
0.25                     0.248128                 
0.3                      0.297903                 
0.35                     0.347727                 
0.4                      0.397602                 
0.45                     0.447526                 
0.5                      0.4975                   
0.55                     0.547524                 
0.6                      0.597598                 
0.65                     0.647723                 
0.7                      0.697897                 
0.75                     0.748122                 
0.8                      0.798397                 
0.85                     0.848722                 
0.9                      0.899098                 
0.95                     0.949524                 
1                        1                        
