#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=5, beta=0.1, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.025                    0.024757                 
0.05                     0.0495264                
0.075                    0.0743082                
0.1                      0.0991024                
0.125                    0.123909                 
0.15                     0.148728                 
0.175                    0.173559                 
0.2                      0.198403                 
0.225                    0.223259                 
0.25                     0.248128                 
0.275                    0.273009                 
0.3                      0.297903                 
0.325                    0.322809                 
0.35                     0.347727                 
0.375                    0.372658                 
0.4                      0.397602                 
0.425                    0.422557                 
0.45                     0.447526                 
0.475                    0.472507                 
0.5                      0.4975                   
0.525                    0.522506                 
0.55                     0.547524                 
0.575                    0.572555                 
0.6                      0.597598                 
0.625                    0.622654                 
0.65                     0.647723                 
0.675                    0.672804                 
0.7                      0.697897                 
0.725                    0.723003                 
0.75                     0.748122                 
0.775                    0.773253                 
0.8                      0.798397                 
0.825                    0.823553                 
0.85                     0.848722                 
0.875                    0.873904                 
0.9                      0.899098                 
0.925                    0.924304                 
0.95                     0.949524                 
0.975                    0.974755                 
1                        1                        
