#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=0.25, beta=0.5, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.05                     0.0164437                
0.1                      0.0346184                
0.15                     0.0547062                
0.2                      0.0769084                
0.25                     0.101448                 
0.3                      0.12857                  
0.35                     0.158548                 
0.4                      0.191681                 
0.45                     0.228301                 
0.5                      0.268777                 
0.55                     0.313513                 
0.6                      0.362958                 
0.65                     0.417608                 
0.7                      0.478011                 
0.75                     0.544772                 
0.8                      0.61856                  
0.85                     0.700115                 
0.9                      0.790255                 
0.95                     0.889884                 
1                        1                        
