#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=0.25, beta=0.5, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.00332226               0.00104344               
0.00664452               0.00209384               
0.00996678               0.00315123               
0.013289                 0.00421568               
0.0166113                0.00528723               
0.0199336                0.00636592               
0.0232558                0.00745179               
0.0265781                0.00854491               
0.0299003                0.00964532               
0.0332226                0.0107531                
0.0365449                0.0118682                
0.0398671                0.0129907                
0.0431894                0.0141208                
0.0465116                0.0152584                
0.0498339                0.0164035                
0.0531561                0.0175563                
0.0564784                0.0187168                
0.0598007                0.019885                 
0.0631229                0.021061                 
0.0664452                0.0222449                
0.0697674                0.0234366                
0.0730897                0.0246363                
0.076412                 0.025844                 
0.0797342                0.0270597                
0.0830565                0.0282836                
0.0863787                0.0295156                
0.089701                 0.0307558                
0.0930233                0.0320042                
0.0963455                0.033261                 
0.0996678                0.0345262                
0.10299                  0.0357998                
0.106312                 0.0370819                
0.109635                 0.0383726                
0.112957                 0.0396719                
0.116279                 0.0409798                
0.119601                 0.0422964                
0.122924                 0.0436218                
0.126246                 0.0449561                
0.129568                 0.0462992                
0.13289                  0.0476513                
0.136213                 0.0490125                
0.139535                 0.0503826                
0.142857                 0.051762                 
0.146179                 0.0531505                
0.149502                 0.0545483                
0.152824                 0.0559554                
0.156146                 0.0573718                
0.159468                 0.0587978                
0.162791                 0.0602332                
0.166113                 0.0616782                
0.169435                 0.0631328                
0.172757                 0.0645971                
0.17608                  0.0660712                
0.179402                 0.0675551                
0.182724                 0.0690489                
0.186047                 0.0705527                
0.189369                 0.0720665                
0.192691                 0.0735904                
0.196013                 0.0751244                
0.199336                 0.0766687                
0.202658                 0.0782233                
0.20598                  0.0797882                
0.209302                 0.0813635                
0.212625                 0.0829494                
0.215947                 0.0845458                
0.219269                 0.0861529                
0.222591                 0.0877707                
0.225914                 0.0893993                
0.229236                 0.0910387                
0.232558                 0.0926891                
0.23588                  0.0943505                
0.239203                 0.0960229                
0.242525                 0.0977065                
0.245847                 0.0994013                
0.249169                 0.101107                 
0.252492                 0.102825                 
0.255814                 0.104554                 
0.259136                 0.106294                 
0.262458                 0.108046                 
0.265781                 0.10981                  
0.269103                 0.111586                 
0.272425                 0.113373                 
0.275748                 0.115172                 
0.27907                  0.116984                 
0.282392                 0.118807                 
0.285714                 0.120642                 
0.289037                 0.12249                  
0.292359                 0.12435                  
0.295681                 0.126223                 
0.299003                 0.128107                 
0.302326                 0.130005                 
0.305648                 0.131915                 
0.30897                  0.133838                 
0.312292                 0.135774                 
0.315615                 0.137722                 
0.318937                 0.139684                 
0.322259                 0.141659                 
0.325581                 0.143646                 
0.328904                 0.145647                 
0.332226                 0.147662                 
0.335548                 0.14969                  
0.33887                  0.151731                 
0.342193                 0.153786                 
0.345515                 0.155855                 
0.348837                 0.157937                 
0.352159                 0.160034                 
0.355482                 0.162144                 
0.358804                 0.164268                 
0.362126                 0.166407                 
0.365449                 0.16856                  
0.368771                 0.170727                 
0.372093                 0.172909                 
0.375415                 0.175105                 
0.378738                 0.177315                 
0.38206                  0.179541                 
0.385382                 0.181781                 
0.388704                 0.184037                 
0.392027                 0.186307                 
0.395349                 0.188593                 
0.398671                 0.190893                 
0.401993                 0.193209                 
0.405316                 0.195541                 
0.408638                 0.197888                 
0.41196                  0.200251                 
0.415282                 0.202629                 
0.418605                 0.205023                 
0.421927                 0.207434                 
0.425249                 0.20986                  
0.428571                 0.212302                 
0.431894                 0.214761                 
0.435216                 0.217236                 
0.438538                 0.219728                 
0.44186                  0.222236                 
0.445183                 0.224761                 
0.448505                 0.227303                 
0.451827                 0.229862                 
0.45515                  0.232438                 
0.458472                 0.235031                 
0.461794                 0.237641                 
0.465116                 0.240269                 
0.468439                 0.242914                 
0.471761                 0.245577                 
0.475083                 0.248258                 
0.478405                 0.250956                 
0.481728                 0.253673                 
0.48505                  0.256407                 
0.488372                 0.25916                  
0.491694                 0.261931                 
0.495017                 0.264721                 
0.498339                 0.267529                 
0.501661                 0.270356                 
0.504983                 0.273202                 
0.508306                 0.276067                 
0.511628                 0.278951                 
0.51495                  0.281854                 
0.518272                 0.284776                 
0.521595                 0.287718                 
0.524917                 0.29068                  
0.528239                 0.293661                 
0.531561                 0.296662                 
0.534884                 0.299683                 
0.538206                 0.302725                 
0.541528                 0.305786                 
0.54485                  0.308868                 
0.548173                 0.311971                 
0.551495                 0.315094                 
0.554817                 0.318238                 
0.55814                  0.321403                 
0.561462                 0.324589                 
0.564784                 0.327797                 
0.568106                 0.331026                 
0.571429                 0.334276                 
0.574751                 0.337548                 
0.578073                 0.340842                 
0.581395                 0.344157                 
0.584718                 0.347495                 
0.58804                  0.350855                 
0.591362                 0.354238                 
0.594684                 0.357643                 
0.598007                 0.36107                  
0.601329                 0.364521                 
0.604651                 0.367995                 
0.607973                 0.371491                 
0.611296                 0.375011                 
0.614618                 0.378555                 
0.61794                  0.382122                 
0.621262                 0.385713                 
0.624585                 0.389328                 
0.627907                 0.392967                 
0.631229                 0.39663                  
0.634551                 0.400318                 
0.637874                 0.40403                  
0.641196                 0.407767                 
0.644518                 0.411529                 
0.647841                 0.415316                 
0.651163                 0.419128                 
0.654485                 0.422966                 
0.657807                 0.426829                 
0.66113                  0.430718                 
0.664452                 0.434633                 
0.667774                 0.438574                 
0.671096                 0.442541                 
0.674419                 0.446535                 
0.677741                 0.450555                 
0.681063                 0.454602                 
0.684385                 0.458676                 
0.687708                 0.462778                 
0.69103                  0.466906                 
0.694352                 0.471062                 
0.697674                 0.475246                 
0.700997                 0.479458                 
0.704319                 0.483698                 
0.707641                 0.487966                 
0.710963                 0.492262                 
0.714286                 0.496588                 
0.717608                 0.500942                 
0.72093                  0.505325                 
0.724252                 0.509737                 
0.727575                 0.514179                 
0.730897                 0.51865                  
0.734219                 0.523151                 
0.737542                 0.527682                 
0.740864                 0.532244                 
0.744186                 0.536835                 
0.747508                 0.541458                 
0.750831                 0.546111                 
0.754153                 0.550795                 
0.757475                 0.55551                  
0.760797                 0.560257                 
0.76412                  0.565036                 
0.767442                 0.569846                 
0.770764                 0.574689                 
0.774086                 0.579563                 
0.777409                 0.58447                  
0.780731                 0.58941                  
0.784053                 0.594383                 
0.787375                 0.599389                 
0.790698                 0.604429                 
0.79402                  0.609502                 
0.797342                 0.614608                 
0.800664                 0.619749                 
0.803987                 0.624924                 
0.807309                 0.630134                 
0.810631                 0.635378                 
0.813953                 0.640658                 
0.817276                 0.645972                 
0.820598                 0.651322                 
0.82392                  0.656708                 
0.827243                 0.662129                 
0.830565                 0.667587                 
0.833887                 0.673081                 
0.837209                 0.678611                 
0.840532                 0.684179                 
0.843854                 0.689784                 
0.847176                 0.695426                 
0.850498                 0.701105                 
0.853821                 0.706823                 
0.857143                 0.712578                 
0.860465                 0.718372                 
0.863787                 0.724205                 
0.86711                  0.730076                 
0.870432                 0.735987                 
0.873754                 0.741937                 
0.877076                 0.747927                 
0.880399                 0.753956                 
0.883721                 0.760026                 
0.887043                 0.766136                 
0.890365                 0.772287                 
0.893688                 0.778479                 
0.89701                  0.784713                 
0.900332                 0.790988                 
0.903654                 0.797304                 
0.906977                 0.803663                 
0.910299                 0.810064                 
0.913621                 0.816508                 
0.916944                 0.822995                 
0.920266                 0.829525                 
0.923588                 0.836099                 
0.92691                  0.842716                 
0.930233                 0.849378                 
0.933555                 0.856084                 
0.936877                 0.862834                 
0.940199                 0.86963                  
0.943522                 0.876471                 
0.946844                 0.883358                 
0.950166                 0.89029                  
0.953488                 0.897269                 
0.956811                 0.904294                 
0.960133                 0.911366                 
0.963455                 0.918485                 
0.966777                 0.925652                 
0.9701                   0.932867                 
0.973422                 0.940129                 
0.976744                 0.94744                  
0.980066                 0.9548                   
0.983389                 0.962209                 
0.986711                 0.969667                 
0.990033                 0.977175                 
0.993355                 0.984733                 
0.996678                 0.992341                 
1                        1                        
