#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=0.25, beta=0.5, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.00497512               0.00156514               
0.00995025               0.00314594               
0.0149254                0.00474254               
0.0199005                0.00635511               
0.0248756                0.0079838                
0.0298507                0.00962878               
0.0348259                0.0112902                
0.039801                 0.0129683                
0.0447761                0.0146631                
0.0497512                0.0163749                
0.0547264                0.0181038                
0.0597015                0.0198499                
0.0646766                0.0216136                
0.0696517                0.0233949                
0.0746269                0.0251939                
0.079602                 0.027011                 
0.0845771                0.0288463                
0.0895522                0.0306999                
0.0945274                0.032572                 
0.0995025                0.0344629                
0.104478                 0.0363727                
0.109453                 0.0383015                
0.114428                 0.0402497                
0.119403                 0.0422173                
0.124378                 0.0442047                
0.129353                 0.0462118                
0.134328                 0.0482391                
0.139303                 0.0502866                
0.144279                 0.0523546                
0.149254                 0.0544433                
0.154229                 0.0565529                
0.159204                 0.0586836                
0.164179                 0.0608356                
0.169154                 0.0630091                
0.174129                 0.0652043                
0.179104                 0.0674215                
0.18408                  0.0696608                
0.189055                 0.0719226                
0.19403                  0.074207                 
0.199005                 0.0765142                
0.20398                  0.0788445                
0.208955                 0.0811981                
0.21393                  0.0835752                
0.218905                 0.0859761                
0.223881                 0.088401                 
0.228856                 0.0908501                
0.233831                 0.0933238                
0.238806                 0.0958222                
0.243781                 0.0983455                
0.248756                 0.100894                 
0.253731                 0.103468                 
0.258706                 0.106068                 
0.263682                 0.108694                 
0.268657                 0.111346                 
0.273632                 0.114025                 
0.278607                 0.11673                  
0.283582                 0.119462                 
0.288557                 0.122222                 
0.293532                 0.12501                  
0.298507                 0.127825                 
0.303483                 0.130668                 
0.308458                 0.13354                  
0.313433                 0.136441                 
0.318408                 0.13937                  
0.323383                 0.142329                 
0.328358                 0.145317                 
0.333333                 0.148336                 
0.338308                 0.151384                 
0.343284                 0.154463                 
0.348259                 0.157573                 
0.353234                 0.160714                 
0.358209                 0.163886                 
0.363184                 0.16709                  
0.368159                 0.170326                 
0.373134                 0.173595                 
0.378109                 0.176896                 
0.383085                 0.18023                  
0.38806                  0.183597                 
0.393035                 0.186998                 
0.39801                  0.190433                 
0.402985                 0.193903                 
0.40796                  0.197407                 
0.412935                 0.200946                 
0.41791                  0.204521                 
0.422886                 0.208131                 
0.427861                 0.211778                 
0.432836                 0.215461                 
0.437811                 0.21918                  
0.442786                 0.222937                 
0.447761                 0.226732                 
0.452736                 0.230564                 
0.457711                 0.234435                 
0.462687                 0.238345                 
0.467662                 0.242293                 
0.472637                 0.246281                 
0.477612                 0.250309                 
0.482587                 0.254378                 
0.487562                 0.258486                 
0.492537                 0.262636                 
0.497512                 0.266828                 
0.502488                 0.271061                 
0.507463                 0.275337                 
0.512438                 0.279656                 
0.517413                 0.284017                 
0.522388                 0.288423                 
0.527363                 0.292872                 
0.532338                 0.297366                 
0.537313                 0.301905                 
0.542289                 0.306489                 
0.547264                 0.311119                 
0.552239                 0.315795                 
0.557214                 0.320518                 
0.562189                 0.325289                 
0.567164                 0.330107                 
0.572139                 0.334973                 
0.577114                 0.339888                 
0.58209                  0.344852                 
0.587065                 0.349866                 
0.59204                  0.354929                 
0.597015                 0.360044                 
0.60199                  0.365209                 
0.606965                 0.370427                 
0.61194                  0.375696                 
0.616915                 0.381018                 
0.621891                 0.386394                 
0.626866                 0.391823                 
0.631841                 0.397306                 
0.636816                 0.402844                 
0.641791                 0.408438                 
0.646766                 0.414087                 
0.651741                 0.419793                 
0.656716                 0.425557                 
0.661692                 0.431377                 
0.666667                 0.437256                 
0.671642                 0.443194                 
0.676617                 0.449191                 
0.681592                 0.455248                 
0.686567                 0.461366                 
0.691542                 0.467544                 
0.696517                 0.473785                 
0.701493                 0.480088                 
0.706468                 0.486454                 
0.711443                 0.492884                 
0.716418                 0.499378                 
0.721393                 0.505937                 
0.726368                 0.512561                 
0.731343                 0.519252                 
0.736318                 0.52601                  
0.741294                 0.532835                 
0.746269                 0.539728                 
0.751244                 0.546691                 
0.756219                 0.553723                 
0.761194                 0.560825                 
0.766169                 0.567999                 
0.771144                 0.575244                 
0.776119                 0.582561                 
0.781095                 0.589952                 
0.78607                  0.597417                 
0.791045                 0.604956                 
0.79602                  0.612571                 
0.800995                 0.620262                 
0.80597                  0.62803                  
0.810945                 0.635875                 
0.81592                  0.643799                 
0.820896                 0.651802                 
0.825871                 0.659885                 
0.830846                 0.668049                 
0.835821                 0.676295                 
0.840796                 0.684623                 
0.845771                 0.693034                 
0.850746                 0.70153                  
0.855721                 0.71011                  
0.860697                 0.718777                 
0.865672                 0.727529                 
0.870647                 0.73637                  
0.875622                 0.745299                 
0.880597                 0.754317                 
0.885572                 0.763425                 
0.890547                 0.772625                 
0.895522                 0.781916                 
0.900498                 0.7913                   
0.905473                 0.800779                 
0.910448                 0.810351                 
0.915423                 0.82002                  
0.920398                 0.829786                 
0.925373                 0.839649                 
0.930348                 0.84961                  
0.935323                 0.859671                 
0.940299                 0.869833                 
0.945274                 0.880097                 
0.950249                 0.890463                 
0.955224                 0.900933                 
0.960199                 0.911507                 
0.965174                 0.922187                 
0.970149                 0.932974                 
0.975124                 0.943869                 
0.9801                   0.954873                 
0.985075                 0.965987                 
0.99005                  0.977212                 
0.995025                 0.988549                 
1                        1                        
