#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1, beta=21, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.05                     1.60312e-10              
0.1                      6.78348e-10              
0.15                     2.3494e-09               
0.2                      7.73082e-09              
0.25                     2.50401e-08              
0.3                      8.06712e-08              
0.35                     2.59382e-07              
0.4                      8.33321e-07              
0.45                     2.67627e-06              
0.5                      8.59358e-06              
0.55                     2.75921e-05              
0.6                      8.85883e-05              
0.65                     0.00028442               
0.7                      0.000913145              
0.75                     0.00293169               
0.8                      0.00941228               
0.85                     0.0302184                
0.9                      0.0970169                
0.95                     0.311475                 
1                        1                        
