#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1000, beta=1, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.00249377               0.00249252               
0.00498753               0.00498505               
0.0074813                0.00747758               
0.00997506               0.00997013               
0.0124688                0.0124627                
0.0149626                0.0149552                
0.0174564                0.0174478                
0.0199501                0.0199404                
0.0224439                0.0224329                
0.0249377                0.0249255                
0.0274314                0.0274181                
0.0299252                0.0299107                
0.032419                 0.0324033                
0.0349127                0.0348959                
0.0374065                0.0373885                
0.0399002                0.0398811                
0.042394                 0.0423737                
0.0448878                0.0448663                
0.0473815                0.047359                 
0.0498753                0.0498516                
0.0523691                0.0523443                
0.0548628                0.0548369                
0.0573566                0.0573296                
0.0598504                0.0598222                
0.0623441                0.0623149                
0.0648379                0.0648076                
0.0673317                0.0673003                
0.0698254                0.069793                 
0.0723192                0.0722857                
0.074813                 0.0747784                
0.0773067                0.0772711                
0.0798005                0.0797638                
0.0822943                0.0822565                
0.084788                 0.0847492                
0.0872818                0.087242                 
0.0897756                0.0897347                
0.0922693                0.0922275                
0.0947631                0.0947202                
0.0972569                0.097213                 
0.0997506                0.0997057                
0.102244                 0.102198                 
0.104738                 0.104691                 
0.107232                 0.107184                 
0.109726                 0.109677                 
0.112219                 0.11217                  
0.114713                 0.114662                 
0.117207                 0.117155                 
0.119701                 0.119648                 
0.122195                 0.122141                 
0.124688                 0.124634                 
0.127182                 0.127127                 
0.129676                 0.129619                 
0.13217                  0.132112                 
0.134663                 0.134605                 
0.137157                 0.137098                 
0.139651                 0.139591                 
0.142145                 0.142084                 
0.144638                 0.144577                 
0.147132                 0.147069                 
0.149626                 0.149562                 
0.15212                  0.152055                 
0.154613                 0.154548                 
0.157107                 0.157041                 
0.159601                 0.159534                 
0.162095                 0.162027                 
0.164589                 0.16452                  
0.167082                 0.167013                 
0.169576                 0.169506                 
0.17207                  0.171999                 
0.174564                 0.174492                 
0.177057                 0.176985                 
0.179551                 0.179477                 
0.182045                 0.18197                  
0.184539                 0.184463                 
0.187032                 0.186956                 
0.189526                 0.189449                 
0.19202                  0.191942                 
0.194514                 0.194435                 
0.197007                 0.196928                 
0.199501                 0.199421                 
0.201995                 0.201914                 
0.204489                 0.204407                 
0.206983                 0.2069                   
0.209476                 0.209394                 
0.21197                  0.211887                 
0.214464                 0.21438                  
0.216958                 0.216873                 
0.219451                 0.219366                 
0.221945                 0.221859                 
0.224439                 0.224352                 
0.226933                 0.226845                 
0.229426                 0.229338                 
0.23192                  0.231831                 
0.234414                 0.234324                 
0.236908                 0.236817                 
0.239401                 0.23931                  
0.241895                 0.241804                 
0.244389                 0.244297                 
0.246883                 0.24679                  
0.249377                 0.249283                 
0.25187                  0.251776                 
0.254364                 0.254269                 
0.256858                 0.256762                 
0.259352                 0.259256                 
0.261845                 0.261749                 
0.264339                 0.264242                 
0.266833                 0.266735                 
0.269327                 0.269228                 
