#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1, beta=21, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.0015625                2.52386e-11              
0.003125                 5.13191e-11              
0.0046875                7.82697e-11              
0.00625                  1.06119e-10              
0.0078125                1.34898e-10              
0.009375                 1.64637e-10              
0.0109375                1.95368e-10              
0.0125                   2.27124e-10              
0.0140625                2.5994e-10               
0.015625                 2.9385e-10               
0.0171875                3.28891e-10              
0.01875                  3.65102e-10              
0.0203125                4.02521e-10              
0.021875                 4.41187e-10              
0.0234375                4.81144e-10              
0.025                    5.22434e-10              
0.0265625                5.65102e-10              
0.028125                 6.09192e-10              
0.0296875                6.54754e-10              
0.03125                  7.01836e-10              
0.0328125                7.50488e-10              
0.034375                 8.00764e-10              
0.0359375                8.52717e-10              
0.0375                   9.06403e-10              
0.0390625                9.6188e-10               
0.040625                 1.01921e-09              
0.0421875                1.07845e-09              
0.04375                  1.13966e-09              
0.0453125                1.20292e-09              
0.046875                 1.26829e-09              
0.0484375                1.33584e-09              
0.05                     1.40565e-09              
0.0515625                1.47778e-09              
0.053125                 1.55232e-09              
0.0546875                1.62935e-09              
0.05625                  1.70894e-09              
0.0578125                1.79119e-09              
0.059375                 1.87619e-09              
0.0609375                1.96402e-09              
0.0625                   2.05478e-09              
0.0640625                2.14857e-09              
0.065625                 2.24549e-09              
0.0671875                2.34564e-09              
0.06875                  2.44913e-09              
0.0703125                2.55608e-09              
0.071875                 2.66659e-09              
0.0734375                2.78079e-09              
0.075                    2.8988e-09               
0.0765625                3.02075e-09              
0.078125                 3.14677e-09              
0.0796875                3.27699e-09              
0.08125                  3.41155e-09              
0.0828125                3.5506e-09               
0.084375                 3.6943e-09               
0.0859375                3.84278e-09              
0.0875                   3.99622e-09              
0.0890625                4.15478e-09              
0.090625                 4.31863e-09              
0.0921875                4.48795e-09              
0.09375                  4.66291e-09              
0.0953125                4.84372e-09              
0.096875                 5.03055e-09              
0.0984375                5.22362e-09              
0.1                      5.42313e-09              
0.101562                 5.62929e-09              
0.103125                 5.84233e-09              
0.104688                 6.06248e-09              
0.10625                  6.28998e-09              
0.107813                 6.52506e-09              
0.109375                 6.76799e-09              
0.110938                 7.01902e-09              
