#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1, beta=21, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.0125                   2.02683e-10              
0.025                    4.66614e-10              
0.0375                   8.10304e-10              
0.05                     1.25786e-09              
0.0625                   1.84067e-09              
0.075                    2.59961e-09              
0.0875                   3.58791e-09              
0.1                      4.87488e-09              
0.1125                   6.55079e-09              
0.125                    8.73317e-09              
0.1375                   1.15751e-08              
0.15                     1.52758e-08              
0.1625                   2.00949e-08              
0.175                    2.63703e-08              
0.1875                   3.45421e-08              
0.2                      4.51833e-08              
0.2125                   5.90402e-08              
0.225                    7.70844e-08              
0.2375                   1.00581e-07              
0.25                     1.31178e-07              
0.2625                   1.71021e-07              
0.275                    2.22904e-07              
0.2875                   2.90464e-07              
0.3                      3.7844e-07               
0.3125                   4.92998e-07              
0.325                    6.42173e-07              
0.3375                   8.36425e-07              
0.35                     1.08937e-06              
0.3625                   1.41875e-06              
0.375                    1.84766e-06              
0.3875                   2.40617e-06              
0.4                      3.13344e-06              
0.4125                   4.08046e-06              
0.425                    5.31364e-06              
0.4375                   6.91944e-06              
0.45                     9.01046e-06              
0.4625                   1.17333e-05              
0.475                    1.52789e-05              
0.4875                   1.98958e-05              
0.5                      2.59077e-05              
0.5125                   3.37362e-05              
0.525                    4.39302e-05              
0.5375                   5.72044e-05              
0.55                     7.44895e-05              
0.5625                   9.69975e-05              
0.575                    0.000126306              
0.5875                   0.000164471              
0.6                      0.000214168              
0.6125                   0.000278881              
0.625                    0.000363148              
0.6375                   0.000472877              
0.65                     0.000615761              
0.6625                   0.000801819              
0.675                    0.0010441                
0.6875                   0.00135958               
0.7                      0.00177039               
0.7125                   0.00230533               
0.725                    0.0030019                
0.7375                   0.00390895               
0.75                     0.00509007               
0.7625                   0.00662808               
0.775                    0.00863081               
0.7875                   0.0112387                
0.8                      0.0146346                
0.8125                   0.0190565                
0.825                    0.0248146                
0.8375                   0.0323125                
0.85                     0.042076                 
0.8625                   0.0547896                
0.875                    0.0713448                
0.8875                   0.0929022                
0.9                      0.120973                 
0.9125                   0.157526                 
0.925                    0.205124                 
0.9375                   0.267104                 
0.95                     0.347812                 
0.9625                   0.452907                 
0.975                    0.589756                 
0.9875                   0.767956                 
1                        1                        
