#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1000, beta=1, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.025                    0.0249878                
0.05                     0.0499763                
0.075                    0.0749653                
0.1                      0.099955                 
0.125                    0.124945                 
0.15                     0.149936                 
0.175                    0.174928                 
0.2                      0.19992                  
0.225                    0.224913                 
0.25                     0.249906                 
0.275                    0.2749                   
0.3                      0.299895                 
0.325                    0.32489                  
0.35                     0.349886                 
0.375                    0.374883                 
0.4                      0.39988                  
0.425                    0.424878                 
0.45                     0.449876                 
0.475                    0.474875                 
0.5                      0.499875                 
0.525                    0.524875                 
0.55                     0.549876                 
0.575                    0.574878                 
0.6                      0.59988                  
0.625                    0.624883                 
0.65                     0.649886                 
0.675                    0.67489                  
0.7                      0.699895                 
0.725                    0.7249                   
0.75                     0.749906                 
0.775                    0.774913                 
0.8                      0.79992                  
0.825                    0.824928                 
0.85                     0.849936                 
0.875                    0.874945                 
0.9                      0.899955                 
0.925                    0.924965                 
0.95                     0.949976                 
0.975                    0.974988                 
1                        1                        
