#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=0.25, beta=0.5, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.0196078                0.00625884               
0.0392157                0.012768                 
0.0588235                0.0195376                
0.0784314                0.0265779                
0.0980392                0.0338999                
0.117647                 0.0415147                
0.137255                 0.0494341                
0.156863                 0.0576703                
0.176471                 0.066236                 
0.196078                 0.0751443                
0.215686                 0.0844089                
0.235294                 0.0940441                
0.254902                 0.104065                 
0.27451                  0.114486                 
0.294118                 0.125324                 
0.313725                 0.136596                 
0.333333                 0.148319                 
0.352941                 0.160511                 
0.372549                 0.17319                  
0.392157                 0.186376                 
0.411765                 0.20009                  
0.431373                 0.214353                 
0.45098                  0.229186                 
0.470588                 0.244612                 
0.490196                 0.260655                 
0.509804                 0.27734                  
0.529412                 0.294693                 
0.54902                  0.312739                 
0.568627                 0.331508                 
0.588235                 0.351027                 
0.607843                 0.371327                 
0.627451                 0.392439                 
0.647059                 0.414395                 
0.666667                 0.43723                  
0.686275                 0.460978                 
0.705882                 0.485676                 
0.72549                  0.511362                 
0.745098                 0.538075                 
0.764706                 0.565857                 
0.784314                 0.59475                  
0.803922                 0.624799                 
0.823529                 0.65605                  
0.843137                 0.688551                 
0.862745                 0.722352                 
0.882353                 0.757505                 
0.901961                 0.794064                 
0.921569                 0.832085                 
0.941176                 0.871627                 
0.960784                 0.912751                 
0.980392                 0.95552                  
1                        1                        
