#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=0.25, beta=0.5, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.025                    0.00802266               
0.05                     0.0164567                
0.075                    0.0253233                
0.1                      0.0346446                
0.125                    0.0444439                
0.15                     0.0547458                
0.175                    0.0655759                
0.2                      0.0769614                
0.225                    0.0889308                
0.25                     0.101514                 
0.275                    0.114743                 
0.3                      0.128649                 
0.325                    0.14327                  
0.35                     0.158639                 
0.375                    0.174797                 
0.4                      0.191784                 
0.425                    0.209642                 
0.45                     0.228415                 
0.475                    0.248152                 
0.5                      0.2689                   
0.525                    0.290713                 
0.55                     0.313644                 
0.575                    0.337751                 
0.6                      0.363094                 
0.625                    0.389737                 
0.65                     0.417746                 
0.675                    0.447191                 
0.7                      0.478147                 
0.725                    0.51069                  
0.75                     0.544902                 
0.775                    0.580868                 
0.8                      0.618679                 
0.825                    0.658429                 
0.85                     0.700217                 
0.875                    0.744149                 
0.9                      0.790333                 
0.925                    0.838886                 
0.95                     0.889928                 
0.975                    0.943588                 
1                        1                        
