#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=0.25, beta=0.5, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.0909091                0.0311037                
0.181818                 0.0684282                
0.272727                 0.113218                 
0.363636                 0.166965                 
0.454545                 0.231462                 
0.545455                 0.308858                 
0.636364                 0.401733                 
0.727273                 0.513184                 
0.818182                 0.646925                 
0.909091                 0.807413                 
1                        1                        
