#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1, beta=21, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.00625                  1.0329e-10               
0.0125                   2.21089e-10              
0.01875                  3.55436e-10              
0.025                    5.08655e-10              
0.03125                  6.83399e-10              
0.0375                   8.8269e-10               
0.04375                  1.10998e-09              
0.05                     1.36919e-09              
0.05625                  1.66483e-09              
0.0625                   2.00199e-09              
0.06875                  2.38652e-09              
0.075                    2.82507e-09              
0.08125                  3.32522e-09              
0.0875                   3.89564e-09              
0.09375                  4.5462e-09               
0.1                      5.28814e-09              
0.10625                  6.13432e-09              
0.1125                   7.09937e-09              
0.11875                  8.19999e-09              
0.125                    9.45523e-09              
0.13125                  1.08868e-08              
0.1375                   1.25195e-08              
0.14375                  1.43815e-08              
0.15                     1.65052e-08              
0.15625                  1.89271e-08              
0.1625                   2.16893e-08              
0.16875                  2.48395e-08              
0.175                    2.84323e-08              
0.18125                  3.25298e-08              
0.1875                   3.72029e-08              
0.19375                  4.25324e-08              
0.2                      4.86106e-08              
0.20625                  5.55427e-08              
0.2125                   6.34486e-08              
0.21875                  7.24651e-08              
0.225                    8.27481e-08              
0.23125                  9.44757e-08              
0.2375                   1.07851e-07              
0.24375                  1.23105e-07              
0.25                     1.40501e-07              
0.25625                  1.60342e-07              
0.2625                   1.82969e-07              
0.26875                  2.08776e-07              
0.275                    2.38207e-07              
0.28125                  2.71772e-07              
0.2875                   3.10053e-07              
0.29375                  3.53711e-07              
0.3                      4.03502e-07              
0.30625                  4.60287e-07              
0.3125                   5.25048e-07              
0.31875                  5.98907e-07              
0.325                    6.83141e-07              
0.33125                  7.79208e-07              
0.3375                   8.88769e-07              
0.34375                  1.01372e-06              
0.35                     1.15622e-06              
0.35625                  1.31874e-06              
0.3625                   1.5041e-06               
0.36875                  1.71548e-06              
0.375                    1.95656e-06              
0.38125                  2.23151e-06              
0.3875                   2.54507e-06              
0.39375                  2.90269e-06              
0.4                      3.31054e-06              
0.40625                  3.77567e-06              
0.4125                   4.30615e-06              
0.41875                  4.91114e-06              
0.425                    5.60112e-06              
0.43125                  6.38801e-06              
0.4375                   7.28544e-06              
0.44375                  8.30893e-06              
0.45                     9.47619e-06              
0.45625                  1.08074e-05              
0.4625                   1.23256e-05              
0.46875                  1.40571e-05              
0.475                    1.60318e-05              
0.48125                  1.82839e-05              
0.4875                   2.08524e-05              
0.49375                  2.37816e-05              
0.5                      2.71223e-05              
0.50625                  3.09322e-05              
0.5125                   3.52774e-05              
0.51875                  4.02328e-05              
0.525                    4.58844e-05              
0.53125                  5.23299e-05              
0.5375                   5.96807e-05              
0.54375                  6.80641e-05              
0.55                     7.76251e-05              
0.55625                  8.85291e-05              
0.5625                   0.000100965              
0.56875                  0.000115147              
0.575                    0.000131322              
0.58125                  0.000149769              
0.5875                   0.000170807              
0.59375                  0.0001948                
0.6                      0.000222163              
0.60625                  0.00025337               
0.6125                   0.000288961              
0.61875                  0.000329551              
0.625                    0.000375843              
0.63125                  0.000428637              
0.6375                   0.000488847              
0.64375                  0.000557515              
0.65                     0.000635828              
0.65625                  0.000725142              
0.6625                   0.000827001              
0.66875                  0.000943169              
0.675                    0.00107565               
0.68125                  0.00122675               
0.6875                   0.00139907               
0.69375                  0.0015956                
0.7                      0.00181973               
0.70625                  0.00207534               
0.7125                   0.00236686               
0.71875                  0.00269933               
0.725                    0.0030785                
0.73125                  0.00351093               
0.7375                   0.00400411               
0.74375                  0.00456656               
0.75                     0.00520801               
0.75625                  0.00593957               
0.7625                   0.00677389               
0.76875                  0.00772541               
0.775                    0.00881059               
0.78125                  0.0100482                
0.7875                   0.0114596                
0.79375                  0.0130694                
0.8                      0.0149052                
0.80625                  0.0169989                
0.8125                   0.0193867                
0.81875                  0.0221099                
0.825                    0.0252157                
0.83125                  0.0287577                
0.8375                   0.0327972                
0.84375                  0.0374042                
0.85                     0.0426583                
0.85625                  0.0486504                
0.8625                   0.0554843                
0.86875                  0.063278                 
0.875                    0.0721666                
0.88125                  0.0823037                
0.8875                   0.0938647                
0.89375                  0.10705                  
0.9                      0.122087                 
0.90625                  0.139236                 
0.9125                   0.158794                 
0.91875                  0.1811                   
0.925                    0.206539                 
0.93125                  0.235551                 
0.9375                   0.268638                 
0.94375                  0.306374                 
0.95                     0.349409                 
0.95625                  0.39849                  
0.9625                   0.454465                 
0.96875                  0.518303                 
0.975                    0.591109                 
0.98125                  0.674141                 
0.9875                   0.768836                 
0.99375                  0.876833                 
1                        1                        
