#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1000, beta=1, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.05                     0.0499763                
0.1                      0.099955                 
0.15                     0.149936                 
0.2                      0.19992                  
0.25                     0.249906                 
0.3                      0.299895                 
0.35                     0.349886                 
0.4                      0.39988                  
0.45                     0.449876                 
0.5                      0.499875                 
0.55                     0.549876                 
0.6                      0.59988                  
0.65                     0.649886                 
0.7                      0.699895                 
0.75                     0.749906                 
0.8                      0.79992                  
0.85                     0.849936                 
0.9                      0.899955                 
0.95                     0.949976                 
1                        1                        
