#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1, beta=21, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.00497512               8.19665e-11              
0.00995025               1.72969e-10              
0.0149254                2.74004e-10              
0.0199005                3.86176e-10              
0.0248756                5.10715e-10              
0.0298507                6.48983e-10              
0.0348259                8.02495e-10              
0.039801                 9.7293e-10               
0.0447761                1.16216e-09              
0.0497512                1.37224e-09              
0.0547264                1.60549e-09              
0.0597015                1.86445e-09              
0.0646766                2.15196e-09              
0.0696517                2.47117e-09              
0.0746269                2.82557e-09              
0.079602                 3.21904e-09              
0.0845771                3.65589e-09              
0.0895522                4.1409e-09               
0.0945274                4.67938e-09              
0.0995025                5.27723e-09              
0.104478                 5.94098e-09              
0.109453                 6.67792e-09              
0.114428                 7.49609e-09              
0.119403                 8.40447e-09              
0.124378                 9.413e-09                
0.129353                 1.05327e-08              
0.134328                 1.17759e-08              
0.139303                 1.31561e-08              
0.144279                 1.46884e-08              
0.149254                 1.63897e-08              
0.154229                 1.82786e-08              
0.159204                 2.03757e-08              
0.164179                 2.2704e-08               
0.169154                 2.5289e-08               
0.174129                 2.81589e-08              
0.179104                 3.13452e-08              
0.18408                  3.48829e-08              
0.189055                 3.88105e-08              
0.19403                  4.31711e-08              
0.199005                 4.80124e-08              
0.20398                  5.33875e-08              
0.208955                 5.93551e-08              
0.21393                  6.59806e-08              
0.218905                 7.33365e-08              
0.223881                 8.15034e-08              
0.228856                 9.05706e-08              
0.233831                 1.00637e-07              
0.238806                 1.11814e-07              
0.243781                 1.24222e-07              
0.248756                 1.37999e-07              
0.253731                 1.53294e-07              
0.258706                 1.70276e-07              
0.263682                 1.89129e-07              
0.268657                 2.10061e-07              
0.273632                 2.33301e-07              
0.278607                 2.59102e-07              
0.283582                 2.87748e-07              
0.288557                 3.19552e-07              
0.293532                 3.54862e-07              
0.298507                 3.94064e-07              
0.303483                 4.37588e-07              
0.308458                 4.8591e-07               
0.313433                 5.39559e-07              
0.318408                 5.99122e-07              
0.323383                 6.65251e-07              
0.328358                 7.3867e-07               
0.333333                 8.20183e-07              
0.338308                 9.10682e-07              
0.343284                 1.01116e-06              
0.348259                 1.12271e-06              
0.353234                 1.24656e-06              
0.358209                 1.38406e-06              
0.363184                 1.53672e-06              
0.368159                 1.70621e-06              
0.373134                 1.89438e-06              
0.378109                 2.1033e-06               
0.383085                 2.33524e-06              
0.38806                  2.59276e-06              
0.393035                 2.87866e-06              
0.39801                  3.19608e-06              
0.402985                 3.5485e-06               
0.40796                  3.93976e-06              
0.412935                 4.37415e-06              
0.41791                  4.85643e-06              
0.422886                 5.39188e-06              
0.427861                 5.98635e-06              
0.432836                 6.64636e-06              
0.437811                 7.37912e-06              
0.442786                 8.19266e-06              
0.447761                 9.09588e-06              
0.452736                 1.00987e-05              
0.457711                 1.1212e-05               
0.462687                 1.24481e-05              
0.467662                 1.38204e-05              
0.472637                 1.5344e-05               
0.477612                 1.70356e-05              
0.482587                 1.89136e-05              
0.487562                 2.09987e-05              
0.492537                 2.33136e-05              
0.497512                 2.58837e-05              
0.502488                 2.87371e-05              
0.507463                 3.19051e-05              
0.512438                 3.54223e-05              
0.517413                 3.93272e-05              
0.522388                 4.36626e-05              
0.527363                 4.84759e-05              
0.532338                 5.38198e-05              
0.537313                 5.97529e-05              
0.542289                 6.63399e-05              
0.547264                 7.36531e-05              
0.552239                 8.17724e-05              
0.557214                 9.07869e-05              
0.562189                 0.000100795              
0.567164                 0.000111906              
