#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1000, beta=1, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.00199601               0.00199501               
0.00399202               0.00399003               
0.00598802               0.00598505               
0.00798403               0.00798007               
0.00998004               0.0099751                
0.011976                 0.0119701                
0.0139721                0.0139652                
0.0159681                0.0159602                
0.0179641                0.0179553                
0.0199601                0.0199503                
0.0219561                0.0219454                
0.0239521                0.0239404                
0.0259481                0.0259355                
0.0279441                0.0279305                
0.0299401                0.0299256                
0.0319361                0.0319207                
0.0339321                0.0339157                
0.0359281                0.0359108                
0.0379242                0.0379059                
0.0399202                0.039901                 
0.0419162                0.0418961                
0.0439122                0.0438912                
0.0459082                0.0458863                
0.0479042                0.0478814                
0.0499002                0.0498765                
0.0518962                0.0518716                
0.0538922                0.0538667                
0.0558882                0.0558618                
0.0578842                0.057857                 
0.0598802                0.0598521                
0.0618762                0.0618472                
0.0638723                0.0638424                
0.0658683                0.0658375                
0.0678643                0.0678326                
0.0698603                0.0698278                
0.0718563                0.0718229                
0.0738523                0.0738181                
0.0758483                0.0758133                
0.0778443                0.0778084                
0.0798403                0.0798036                
0.0818363                0.0817988                
0.0838323                0.0837939                
0.0858283                0.0857891                
0.0878244                0.0877843                
0.0898204                0.0897795                
0.0918164                0.0917747                
0.0938124                0.0937699                
0.0958084                0.0957651                
0.0978044                0.0977603                
0.0998004                0.0997555                
0.101796                 0.101751                 
0.103792                 0.103746                 
0.105788                 0.105741                 
0.107784                 0.107736                 
0.10978                  0.109732                 
0.111776                 0.111727                 
0.113772                 0.113722                 
0.115768                 0.115717                 
0.117764                 0.117713                 
0.11976                  0.119708                 
0.121756                 0.121703                 
0.123752                 0.123698                 
0.125749                 0.125694                 
0.127745                 0.127689                 
0.129741                 0.129684                 
0.131737                 0.131679                 
0.133733                 0.133675                 
0.135729                 0.13567                  
0.137725                 0.137665                 
0.139721                 0.13966                  
0.141717                 0.141656                 
0.143713                 0.143651                 
0.145709                 0.145646                 
0.147705                 0.147642                 
0.149701                 0.149637                 
0.151697                 0.151632                 
0.153693                 0.153628                 
0.155689                 0.155623                 
0.157685                 0.157618                 
0.159681                 0.159614                 
0.161677                 0.161609                 
0.163673                 0.163604                 
0.165669                 0.1656                   
0.167665                 0.167595                 
0.169661                 0.16959                  
0.171657                 0.171586                 
0.173653                 0.173581                 
0.175649                 0.175576                 
0.177645                 0.177572                 
0.179641                 0.179567                 
0.181637                 0.181562                 
0.183633                 0.183558                 
0.185629                 0.185553                 
0.187625                 0.187549                 
0.189621                 0.189544                 
0.191617                 0.191539                 
0.193613                 0.193535                 
0.195609                 0.19553                  
0.197605                 0.197526                 
0.199601                 0.199521                 
0.201597                 0.201516                 
0.203593                 0.203512                 
0.205589                 0.205507                 
0.207585                 0.207503                 
0.209581                 0.209498                 
0.211577                 0.211493                 
0.213573                 0.213489                 
0.215569                 0.215484                 
0.217565                 0.21748                  
0.219561                 0.219475                 
0.221557                 0.221471                 
0.223553                 0.223466                 
0.225549                 0.225462                 
0.227545                 0.227457                 
0.229541                 0.229453                 
0.231537                 0.231448                 
0.233533                 0.233443                 
0.235529                 0.235439                 
0.237525                 0.237434                 
0.239521                 0.23943                  
0.241517                 0.241425                 
0.243513                 0.243421                 
0.245509                 0.245416                 
0.247505                 0.247412                 
0.249501                 0.249407                 
0.251497                 0.251403                 
0.253493                 0.253398                 
0.255489                 0.255394                 
0.257485                 0.257389                 
0.259481                 0.259385                 
0.261477                 0.261381                 
0.263473                 0.263376                 
0.265469                 0.265372                 
0.267465                 0.267367                 
0.269461                 0.269363                 
0.271457                 0.271358                 
0.273453                 0.273354                 
0.275449                 0.275349                 
0.277445                 0.277345                 
0.279441                 0.27934                  
0.281437                 0.281336                 
0.283433                 0.283332                 
0.285429                 0.285327                 
0.287425                 0.287323                 
0.289421                 0.289318                 
0.291417                 0.291314                 
0.293413                 0.29331                  
0.295409                 0.295305                 
0.297405                 0.297301                 
