#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1000, beta=1, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.00625                  0.0062469                
0.0125                   0.0124938                
0.01875                  0.0187408                
0.025                    0.0249878                
0.03125                  0.0312349                
0.0375                   0.037482                 
0.04375                  0.0437291                
0.05                     0.0499763                
0.05625                  0.0562235                
0.0625                   0.0624707                
0.06875                  0.068718                 
0.075                    0.0749653                
0.08125                  0.0812127                
0.0875                   0.0874601                
0.09375                  0.0937075                
0.1                      0.099955                 
0.10625                  0.106203                 
0.1125                   0.11245                  
0.11875                  0.118698                 
0.125                    0.124945                 
0.13125                  0.131193                 
0.1375                   0.137441                 
0.14375                  0.143688                 
0.15                     0.149936                 
0.15625                  0.156184                 
0.1625                   0.162432                 
0.16875                  0.16868                  
0.175                    0.174928                 
0.18125                  0.181176                 
0.1875                   0.187424                 
0.19375                  0.193672                 
0.2                      0.19992                  
0.20625                  0.206168                 
0.2125                   0.212416                 
0.21875                  0.218665                 
0.225                    0.224913                 
0.23125                  0.231161                 
0.2375                   0.237409                 
0.24375                  0.243658                 
0.25                     0.249906                 
0.25625                  0.256155                 
0.2625                   0.262403                 
0.26875                  0.268652                 
0.275                    0.2749                   
0.28125                  0.281149                 
0.2875                   0.287398                 
0.29375                  0.293646                 
0.3                      0.299895                 
0.30625                  0.306144                 
0.3125                   0.312393                 
0.31875                  0.318641                 
0.325                    0.32489                  
0.33125                  0.331139                 
0.3375                   0.337388                 
0.34375                  0.343637                 
0.35                     0.349886                 
0.35625                  0.356135                 
0.3625                   0.362384                 
0.36875                  0.368634                 
0.375                    0.374883                 
0.38125                  0.381132                 
0.3875                   0.387381                 
0.39375                  0.393631                 
0.4                      0.39988                  
0.40625                  0.406129                 
0.4125                   0.412379                 
0.41875                  0.418628                 
0.425                    0.424878                 
0.43125                  0.431127                 
0.4375                   0.437377                 
0.44375                  0.443627                 
0.45                     0.449876                 
0.45625                  0.456126                 
0.4625                   0.462376                 
0.46875                  0.468625                 
0.475                    0.474875                 
0.48125                  0.481125                 
0.4875                   0.487375                 
0.49375                  0.493625                 
0.5                      0.499875                 
0.50625                  0.506125                 
0.5125                   0.512375                 
0.51875                  0.518625                 
0.525                    0.524875                 
0.53125                  0.531125                 
0.5375                   0.537376                 
0.54375                  0.543626                 
0.55                     0.549876                 
0.55625                  0.556127                 
0.5625                   0.562377                 
0.56875                  0.568627                 
0.575                    0.574878                 
0.58125                  0.581128                 
0.5875                   0.587379                 
0.59375                  0.593629                 
0.6                      0.59988                  
0.60625                  0.606131                 
0.6125                   0.612381                 
0.61875                  0.618632                 
0.625                    0.624883                 
0.63125                  0.631134                 
0.6375                   0.637384                 
0.64375                  0.643635                 
0.65                     0.649886                 
0.65625                  0.656137                 
0.6625                   0.662388                 
0.66875                  0.668639                 
0.675                    0.67489                  
0.68125                  0.681141                 
0.6875                   0.687393                 
0.69375                  0.693644                 
0.7                      0.699895                 
0.70625                  0.706146                 
0.7125                   0.712398                 
0.71875                  0.718649                 
0.725                    0.7249                   
0.73125                  0.731152                 
0.7375                   0.737403                 
0.74375                  0.743655                 
0.75                     0.749906                 
0.75625                  0.756158                 
0.7625                   0.762409                 
0.76875                  0.768661                 
0.775                    0.774913                 
0.78125                  0.781165                 
0.7875                   0.787416                 
0.79375                  0.793668                 
0.8                      0.79992                  
0.80625                  0.806172                 
0.8125                   0.812424                 
0.81875                  0.818676                 
0.825                    0.824928                 
0.83125                  0.83118                  
0.8375                   0.837432                 
0.84375                  0.843684                 
0.85                     0.849936                 
0.85625                  0.856188                 
0.8625                   0.862441                 
0.86875                  0.868693                 
0.875                    0.874945                 
0.88125                  0.881198                 
0.8875                   0.88745                  
0.89375                  0.893703                 
0.9                      0.899955                 
0.90625                  0.906208                 
0.9125                   0.91246                  
0.91875                  0.918713                 
0.925                    0.924965                 
0.93125                  0.931218                 
0.9375                   0.937471                 
0.94375                  0.943723                 
0.95                     0.949976                 
0.95625                  0.956229                 
0.9625                   0.962482                 
0.96875                  0.968735                 
0.975                    0.974988                 
0.98125                  0.981241                 
0.9875                   0.987494                 
0.99375                  0.993747                 
1                        1                        
