#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1, beta=21, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.025                    3.25713e-10              
0.05                     8.83403e-10              
0.075                    1.83831e-09              
0.1                      3.47334e-09              
0.125                    6.27285e-09              
0.15                     1.10661e-08              
0.175                    1.92728e-08              
0.2                      3.33232e-08              
0.225                    5.73783e-08              
0.25                     9.85609e-08              
0.275                    1.69065e-07              
0.3                      2.89764e-07              
0.325                    4.96395e-07              
0.35                     8.5013e-07               
0.375                    1.45569e-06              
0.4                      2.49235e-06              
0.425                    4.26701e-06              
0.45                     7.305e-06                
0.475                    1.25057e-05              
0.5                      2.14086e-05              
0.525                    3.66493e-05              
0.55                     6.27394e-05              
0.575                    0.000107402              
0.6                      0.000183859              
0.625                    0.000314743              
0.65                     0.000538798              
0.675                    0.000922352              
0.7                      0.00157894               
0.725                    0.00270294               
0.75                     0.00462707               
0.775                    0.00792092               
0.8                      0.0135595                
0.825                    0.0232121                
0.85                     0.039736                 
0.875                    0.0680226                
0.9                      0.116445                 
0.925                    0.199339                 
0.95                     0.341241                 
0.975                    0.584158                 
1                        1                        
